Kami mendapat rumah murah di dekat sungai.,We got a cheap house near the river.
heater,pemanas,lesson6 temperature en-id
But there are also some that are much more expensive.,Tapi ada juga yang jauh lebih mahal.
"Disewakan garasi, hubungi…","""Garage for rent, contact…""",lesson4 safety-signs id-en
Kami perlu meneliti peraturan sebelum menandatangani perjanjian.,We need to research the regulations before signing the agreement.
sakit,sick / ill / painful,lesson2 tenses health id-en
This shop is cheaper than that one.,Toko ini lebih murah daripada yang itu.,lesson8 en-id phrase
selalu ada masalah,there is always a problem,lesson5 phrases-grammar id-en
ular,snake,lesson1 adjectives-prefixes animals id-en
batal,cancel,lesson7 transport id-en
I want to ask,saya mau tanya,lesson6 health-comm en-id
lantai 6,sixth floor,lesson5 rooms id-en
capek,tired (informal),lesson2 tenses feelings id-en
ikan laut,saltwater fish,lesson6 food id-en
perjalanan,trip,lesson7 transport id-en
bulan lalu,last month,lesson2 tenses time id-en
dalam dua tahun,in two years,lesson2 tenses time id-en
dua belas,twelve
lokasi,location,lesson9 places id-en
tunangan,fiancé(e); engaged
dua hari lalu,two days ago,lesson5 time id-en
after,setelah,lesson5 time en-id
racik,to blend / mix (craft),lesson3 shopping coffee id-en
takut,scared / afraid,lesson6 feelings-animals id-en
peraturan,rules; regulations
bagus,good (quality),lesson1 adjectives-prefixes quality id-en
to enter,masuk,lesson2 tenses movement en-id
buat pemanas,to use the heating,lesson6 temperature id-en
dataran tinggi,highlands / plateau,lesson9 places id-en
That bill is paid in full.,Tagihan itu sudah lunas.
barat,west
bisa,can (ability),lesson5 phrases-grammar id-en
garage,garasi
pemanas,heater,lesson6 temperature id-en
weird / strange,aneh,lesson8 qualities en-id
Ada dua puluh satu peserta.,There are 21 participants.
khawatir,worried,lesson5 vocab id-en
The cat is under the table.,Kucing itu di bawah meja.,lesson8 en-id phrase
cocok,suitable; to fit/match
sebelum,before,lesson5 time id-en
snow,salju,lesson1 adjectives-prefixes weather en-id
yang mana favoritmu?,which is your favourite?,lesson9 comparison-misc id-en
including,termasuk
land,darat,lesson7 transport en-id
sebelas,eleven
culture,budaya,lesson9 people-culture en-id
Desember,December
jadwal,schedule,lesson7 transport id-en
Sumatera Utara,North Sumatra,lesson9 places id-en
need,butuh,lesson2 tenses needs en-id
Besok ada rapat; kemarin tidak ada.,There’s a meeting tomorrow; there wasn’t one yesterday.
berantakan,messy / in a mess,lesson8 cleanliness id-en
Kucing itu di bawah meja.,The cat is under the table.,lesson8 id-en phrase
di luar,outside,lesson2 tenses location id-en
seldom,jarang,lesson3 shopping frequency en-id
sometimes (short form),kadang
under / below,di bawah,lesson8 location-reference en-id
boat / ship / canoe,kapal,lesson7 transport en-id
every,setiap,lesson5 time en-id
one,satu
selalu,always
suitable; to fit/match,cocok
August,Agustus
storm,badai,lesson7 health-weather en-id
banjir,flood,lesson7 health-weather id-en
aeroplane,pesawat,lesson7 transport en-id
Do you like a design like this?,Apakah kamu suka desain seperti ini?,lesson8 en-id phrase
less; not very,kurang
We start the course in September.,Kita mulai kursus pada bulan September.
ikan sungai,freshwater fish,lesson6 food id-en
musim gugur,autumn,lesson1 adjectives-prefixes weather id-en
next month,bulan depan,lesson2 tenses time en-id
buy,beli,lesson1 adjectives-prefixes shopping en-id
far (away),jauh,lesson9 travel-time en-id
Not many activities,Tidak ada banyak aktivitas,lesson4 travel en-id
perlu,need (neutral/formal),lesson2 tenses needs id-en
ya kan,right? (casual),lesson6 fillers id-en
tiga belas,thirteen
accident,kecelakaan,lesson2 tenses accidents en-id
fireplace,perapian,lesson6 temperature en-id
bantu,(to) help,lesson4 verbs id-en
weekly,mingguan
timur,east
"The distance is almost 1,000 kilometres.",Jaraknya hampir seribu kilometer.
Kami berkendara ke kota di utara.,We drove to the city in the north.
before,sebelum,lesson5 time en-id
hewan,animal,lesson6 feelings-animals id-en
is there a discount?,ada diskon?,lesson3 shopping shopping en-id
saya mau tanya,I want to ask,lesson6 health-comm id-en
jadwal ulang,reschedule,lesson7 transport id-en
sick / ill / painful,sakit,lesson2 tenses health en-id
to play,main,lesson6 sports en-id
berbelanja,to shop,lesson8 money-shopping id-en
dari ... sampai ...,from ... to/until ...,lesson2 tenses time id-en
There are many fruits at the market.,Di pasar ada banyak buah.
tidak ada apa-apa,nothing
Kami bertanggung jawab atas pagar dan garasi.,We are responsible for the fence and the garage.
AC,air conditioner,lesson2 tenses household id-en
Indonesians,orang Indonesia,lesson9 people-culture en-id
setelah,after,lesson5 time id-en
lebih banyak,more (more often),lesson7 grammar-expressions id-en
December,Desember
melindungi,to protect
ruang meeting,meeting room,lesson5 rooms id-en
seperti ini,like this / like this one,lesson8 location-reference id-en
windu,8-year period,lesson2 tenses time id-en
sering,often
busy,sibuk,lesson9 descriptions en-id
to go out / get out,keluar,lesson2 tenses movement en-id
thing,hal,lesson9 comparison-misc en-id
can it be bargained?,bisa ditawar?,lesson3 shopping shopping en-id
bus,bus,lesson7 transport en-id
lost / disappearing,hilang,lesson5 vocab en-id
later (today),nanti
ninety,sembilan puluh
"Farmers in the village sell fresh, cheap fruit.",Petani di desa menjual buah segar dan murah.
memberikan,to give / provide,lesson4 verbs id-en
bulan depan,next month,lesson2 tenses time id-en
Baru-baru ini saya pindah dari rumah yang dulu.,Recently I moved from my previous home.
London sudah tidak aman lagi,London is no longer safe,lesson4 travel id-en
Everyone has arrived.,Semua orang sudah datang.,lesson8 en-id phrase
"The ticket price is 115,000.",Harga tiketnya seratus lima belas ribu.
hancur,destroyed; to be destroyed
hal-hal yang berbeda,different things,lesson9 comparison-misc id-en
be careful,hati-hati,lesson3 shopping misc en-id
handsome (formal/poetic),tampan,lesson1 adjectives-prefixes quality en-id
8-year period,windu,lesson2 tenses time en-id
selanjutnya,next / following,lesson7 directions id-en
haircut,potong rambut,lesson3 shopping shopping en-id
cukup,enough,lesson6 temperature id-en
Pagarnya hancur setelah badai.,The fence is destroyed after the storm.
ada dua tipe,there are two types,lesson7 grammar-expressions id-en
sembilan,nine
Oktober,October
to run,lari,lesson6 sports en-id
sekarang,now
that is difficult,itu sulit,lesson4 work-study en-id
rusak,broken / broken down,lesson7 health-weather id-en
river,sungai
duit,money (slang),lesson3 shopping shopping id-en
saya cari...,I'm looking for...,lesson3 shopping shopping id-en
Maret,March
Just a drink; I don't want food.,"Minuman aja, saya tidak mau makanan.",lesson7 en-id phrase
Do you need something?,Apakah kamu butuh sesuatu?
lusa,the day after tomorrow,lesson2 tenses time id-en
Rumah itu sangat bersih.,That house is very clean.,lesson8 id-en phrase
bisa kurang?,can you lower it?,lesson3 shopping shopping id-en
